Time,Time Code,Country Name,Country Code,"Female share of graduates in Natural Sciences, Mathematics and Statistics programmes, tertiary (%) [SE.TER.GRAD.FE.SC.ZS]",GDP per capita (Current US$) [NY.GDP.PCAP.CD],"Government expenditure per student, primary (% of GDP per capita) [SE.XPD.PRIM.PC.ZS]","Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]","Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]","Population, total [SP.POP.TOTL]","Population, female [SP.POP.TOTL.FE.IN]","Population, female (% of total) [SP.POP.TOTL.FE.ZS]","Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%) [SE.TER.GRAD.FE.SI.ZS]","Gross graduation ratio, primary, female (%) [SE.PRM.CMPL.FE.ZS]","Gross graduation ratio, primary, male (%) [SE.PRM.CMPL.MA.ZS]","Gross graduation ratio, tertiary, female (%) [SE.TER.CMPL.FE.ZS]","Gross graduation ratio, tertiary, male (%) [SE.TER.CMPL.MA.ZS]","Literacy rate, youth (ages 15-24), gender parity index (GPI) [SE.ADT.1524.LT.FM.ZS]",A woman can get a job in the same way as a man (1=yes; 0=no) [SG.GET.JOBS.EQ],A woman can open a bank account in the same way as a man (1=yes; 0=no) [SG.OPN.BANK.EQ],A woman can choose where to live in the same way as a man (1=yes; 0=no) [SG.LOC.LIVE.EQ],"Age at first marriage, female [SP.DYN.SMAM.FE]","Age at first marriage, male [SP.DYN.SMAM.MA]",Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no) [SG.IHT.ASST.PT.EQ],"Children in employment, male (% of male children ages 7-14) [SL.TLF.0714.MA.ZS]","Children in employment, female (% of female children ages 7-14) [SL.TLF.0714.FE.ZS]","Labor force, total [SL.TLF.TOTL.IN]","Labor force, female [SL.TLF.TOTL.FE.IN]","Labor force, female (% of total labor force) [SL.TLF.TOTL.FE.ZS]","Retirement age with full benefits, female [SG.AGE.RTRE.FL.FE]","Retirement age with full benefits, male [SG.AGE.RTRE.FL.MA]"
2016,YR2016,Brazil,BRA,59.56817,8710.09668954121,..,78.934,71.578,206163058,104712865,50.7912843511594,35.20026,97.43146,101.20137,..,..,1.00680005550385,1,1,1,..,..,1,..,..,102513776,43943847,42.8662846250049,..,..
2016,YR2016,British Virgin Islands,VGB,..,..,..,..,..,29355,..,..,..,94.39252,78.57143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Brunei Darussalam,BRN,68.34862,27157.8234104784,8.87354,76.681,74.313,419800,201419,47.9798280572952,51.85512,104.65188,105.71178,..,..,..,1,1,0,..,..,0,..,..,209840,88902,42.3665650019062,..,..
2016,YR2016,Bulgaria,BGR,67.29287,7548.85500737534,..,78.5,71.3,7127822,3662344,51.3809664164225,38.26006,..,..,57.7330589294434,37.685131072998,..,1,1,1,32.2999999999999,35.4,1,..,..,3264392,1512072,46.3201723322444,..,..
2016,YR2016,Burkina Faso,BFA,13.78936,688.249662758849,..,60.988,59.592,18646378,9353849,50.1644289633092,16.04096,64.63598,59.98258,..,..,..,1,1,0,..,..,1,..,..,6784066,3031856,44.6908387978537,..,..
2016,YR2016,Burundi,BDI,16.36546,282.193130404814,..,62.301,58.726,10487998,5292743,50.4647596367735,19.24742,62.1396,54.17584,..,..,..,1,1,1,22.8,26.1,0,..,..,4503070,2341691,52.0021007890173,..,..
2016,YR2016,Cabo Verde,CPV,55.95238,3130.96338552381,17.06822,75.616,68.846,531146,264794,49.8533343374628,38.60759,91.46294,91.29007,16.039909362793,8.42790985107422,..,1,1,1,..,..,1,..,..,224651,97122,43.2323915762672,..,..
2016,YR2016,Cambodia,KHM,..,1269.59125737542,..,70.975,66.785,15766293,8075001,51.2168620518841,..,85.32138,82.04349,..,..,..,1,1,1,..,..,1,..,..,8909179,4320258,48.4922123576145,..,..
2016,YR2016,Cameroon,CMR,35.3496,1364.33011041997,..,59.367,56.768,23926539,11969331,50.0253337829873,31.7606,44.14392,48.11637,..,..,..,0,0,0,..,..,1,..,..,10391573,4882737,46.9874676336297,..,..
2016,YR2016,Canada,CAN,53.76368,42322.4847803038,..,84,79.9,36109487,18202997,50.4105660284427,31.4295,102.24909,102.1728,46.1947708129883,30.3566207885742,..,1,1,1,27.2,28.7,1,..,..,19888519,9382026,47.1730750791449,..,..
2016,YR2016,Cayman Islands,CYM,..,78465.3573282461,..,..,..,62569,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,YR2016,Central African Republic,CAF,..,402.191290596004,..,53.614,49.594,4537687,2288849,50.4408747812485,..,..,..,..,..,..,1,1,0,..,..,1,..,..,1815145,824196,45.406620407736,..,..
2016,YR2016,Chad,TCD,..,693.449386475774,..,54.856,52.041,14561666,7294427,50.093354753971,..,..,..,..,..,0.550149977207184,0,0,0,..,..,1,..,..,5408189,2453631,45.3688101506808,..,..
2016,YR2016,Channel Islands,CHI,..,..,..,84.553,80.559,166923,84409,50.5673308491391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83373,37006,44.3860722296187,..,..
